Name,Preferred_City,Preferred_Animal,Preferred_Thing
Betty Ramirez,Dallas,Elephant,Sofa
Jennifer Green,Naples,Bee,Shirt
John Lopez,Helsinki,Zebra,Wallet
Susan Gonzalez,Beijing,Chicken,Phone
Jennifer Wright,Buenos Aires,Goat,Wallet
Michael Clark,Naples,Shark,Coat
Charles Williams,Dubai,Giraffe,Shoes
Sarah Green,Geneva,Panda,Ball
Linda Jackson,Copenhagen,Snake,Dress
Michelle Perez,London,Duck,Picture
Paul Flores,Paris,Elephant,Hat
Joshua Martin,London,Hawk,Earrings
Charles Ramirez,Amsterdam,Cat,Bracelet
Karen Lewis,Vienna,Eagle,Sofa
Donald Taylor,Paris,Guinea Pig,Computer
Sandra Perez,Nashville,Koala,Blanket
Sarah King,Moscow,Goat,Pen
Kenneth Hill,Bangkok,Zebra,Hat
Jessica Allen,Atlanta,Duck,Chair
Anthony Wright,Los Angeles,Chicken,Dress
Sarah Allen,Zurich,Rabbit,Keys
Betty Wright,Berlin,Shark,Pillow
Margaret Jones,Oslo,Rat,Bowl
Nancy Green,Phoenix,Lion,Bag
Patricia Sanchez,Buenos Aires,Frog,Painting
Lisa Rodriguez,London,Deer,Picture
Michael White,Portland,Turtle,Ring
Richard Scott,Zurich,Panda,Ball
Daniel Walker,Miami,Goose,Bracelet
Barbara Martin,Cape Town,Turkey,Lamp
Kimberly Johnson,Cape Town,Raccoon,Backpack
Christopher Scott,Zurich,Wolf,Shirt
Jennifer Johnson,Zurich,Cow,Bag
Andrew Harris,Sydney,Dog,Pillow
Kimberly White,Athens,Crocodile,Ball
Kimberly Hernandez,Cape Town,Chicken,Bowl
Margaret Williams,Chicago,Turtle,Toy
James Hill,Mumbai,Whale,Vase
Sandra Jones,Mexico City,Goat,Lamp
Linda Lee,Prague,Dolphin,Phone
Jessica Martinez,Berlin,Frog,Book
Richard Hill,Geneva,Goldfish,Jacket
Mark Rodriguez,Dubai,Horse,Clock
Jessica Lee,Cairo,Guinea Pig,Computer
Richard Gonzalez,Seattle,Ant,Book
Sarah Taylor,Stockholm,Goat,Can
Kenneth Williams,Seattle,Ant,Fork
Nancy Taylor,Nashville,Pig,Plate
Charles Martin,Helsinki,Dolphin,Picture
Dorothy Martinez,Milan,Giraffe,Notebook
Mary Moore,Austin,Hamster,Bag
Donald Lopez,Zurich,Spider,Pants
Margaret Davis,Dublin,Giraffe,Fork
Lisa Brown,Athens,Guinea Pig,Phone
Thomas Nguyen,Helsinki,Rabbit,Shoes
Barbara Wilson,Istanbul,Owl,Shirt
Donna Clark,Lima,Snake,Bottle
Margaret Flores,Seoul,Cow,Computer
Betty Scott,Denver,Parrot,Jacket
Linda Thomas,Madrid,Turkey,Box
William White,Houston,Lizard,Bowl
Donald Rodriguez,Paris,Chicken,Phone
Patricia Nguyen,London,Horse,Blanket
Mary Robinson,Amsterdam,Octopus,Shoes
Ashley Gonzalez,Mexico City,Eagle,Painting
Margaret Martinez,Houston,Bee,Game
David Lewis,Moscow,Kangaroo,Umbrella
Donna Wright,Geneva,Dog,Picture
Lisa Thompson,Amsterdam,Turtle,Toy
Elizabeth Hill,Dubai,Goldfish,Shoes
Joshua Hernandez,Rome,Chicken,Picture
Joseph Flores,Istanbul,Cat,Pillow
Ashley Wright,Barcelona,Goldfish,Umbrella
Lisa Anderson,Barcelona,Lion,Chair
Paul Torres,Phoenix,Monkey,Ring
Steven Lopez,Barcelona,Deer,Mirror
James Thomas,Nashville,Goldfish,Phone
Emily Martinez,Dallas,Ant,Coat
Anthony Jones,Oslo,Spider,Bowl
Christopher White,Austin,Ant,Bottle
Kenneth Perez,London,Bear,Game
Sarah Smith,Cape Town,Whale,Ball
Nancy Harris,Singapore,Rabbit,Vase
Andrew Rodriguez,Buenos Aires,Butterfly,Jacket
Karen Harris,Geneva,Eagle,Dress
Sandra Williams,Helsinki,Spider,Picture
Linda Jackson,Amsterdam,Cow,Blanket
Sandra Moore,Sydney,Butterfly,Dress
Barbara Thomas,Amsterdam,Snake,Lamp
Joseph Robinson,Nashville,Koala,Mirror
Kenneth Martin,Helsinki,Elephant,Blanket
Richard Thomas,Rio de Janeiro,Sheep,Ball
Sandra Scott,London,Hamster,Umbrella
